id,name,address,postcode,lat,long,accuracy,inspection,score,classification,telephone,type
,150 Transport Regiment,Londesborough Street,HU3 1DS,53.7465025,-0.3566901,GEOMETRIC_CENTER,14-Oct-08,85,B Good,,
,24/7 Vending Cafe,46 Spring Bank,HU3 1AB,53.7505588,-0.3774668,RANGE_INTERPOLATED,03-Dec-09,75,B Good,,
,250 (Hull) Medical Squadron,Anlaby Road,HU3 6PB,53.7431702,-0.3578792,GEOMETRIC_CENTER,13-Nov-08,90,A Excellent,,
,8 Milne Road,8 Milne Road,HU9 4UB,53.7687795,-0.2706848,RANGE_INTERPOLATED,03-Oct-05,70,C Acceptable,,
,A & M Fisheries,1137 Hessle Road,HU4 6SB,53.7284746,-0.4044986,RANGE_INTERPOLATED,04-Oct-08,90,A Excellent,,
,A & N Pizza Fiesta,233 Beverley Road,HU5 2UT,53.7602671,-0.3494859,RANGE_INTERPOLATED,19-Oct-09,70,C Acceptable,,
,A Taste of Europe,Princes Quay,HU1 2PQ,53.7550013,-0.3593619,GEOMETRIC_CENTER,29-Oct-08,80,B Good,,
,A Touch of Class,46 Cottingham Road,HU6 7RA,53.7687059,-0.3597941,RANGE_INTERPOLATED,16-Apr-07,75,B Good,,
,Abbey Roadtanks Ltd,Littlefair Road,HU9 5LP,53.749229,-0.2836754,GEOMETRIC_CENTER,22-Jul-09,90,A Excellent,,
,Acorn Guest House,719 Beverley Road,HU6 7JN,53.7756435,-0.3563405,RANGE_INTERPOLATED,15-Nov-08,85,B Good,,
,Adelaide Fisheries,2 Goodwin Parade,HU3 2HA,53.7407147,-0.3505605,GEOMETRIC_CENTER,26-Oct-09,70,C Acceptable,,
,Adelaide Primary School,Walker Street,HU3 2HB,53.7386396,-0.3539607,GEOMETRIC_CENTER,12-Jun-08,90,A Excellent,,
,Admiral of the Humber,1 Anlaby Road,HU1 2NR,53.7446476,-0.4019135,RANGE_INTERPOLATED,25-Sep-08,85,B Good,,
,Admiral Wyndham Hotel,52 Sunny Bank,HU3 1LQ,53.7503927,-0.3674076,GEOMETRIC_CENTER,02-Sep-08,60,C Acceptable,,
,Aerosol Products Ltd,West Carr Lane,HU7 0AW,53.7718439,-0.3308469,GEOMETRIC_CENTER,09-Jun-06,85,B Good,,
,Afro Caribbean Centre,25 Park Street,HU2 8RR,53.7455742,-0.3519284,RANGE_INTERPOLATED,26-Apr-00,85,B Good,,
,Age Concern,Porter Street,HU1 2RH,53.7405962,-0.3478728,GEOMETRIC_CENTER,09-Oct-08,95,A Excellent,,
,Ainthorpe Primary School,Ainthorpe Grove,HU5 5EB,53.751502,-0.403539,GEOMETRIC_CENTER,26-Jun-03,85,B Good,,
,Al Noor,61 Princes Avenue,HU5 3QX,53.7535545,-0.3602125,RANGE_INTERPOLATED,12-Jan-09,50,D Poor,,
,Alan's Naturally,13 South Street,HU1 3QG,53.7436535,-0.3432043,RANGE_INTERPOLATED,02-Feb-04,75,B Good,,
,Albasha,173 Spring Bank,HU3 1LP,53.7514752,-0.3626487,RANGE_INTERPOLATED,02-Jul-08,80,B Good,,
,Albert Hotel,394 Anlaby Road,HU3 6PB,53.7437225,-0.3784181,RANGE_INTERPOLATED,14-May-08,70,C Acceptable,,
,Alderman Cogan School,Whitworth Street,HU9 3HJ,53.761733,-0.295212,GEOMETRIC_CENTER,19-Nov-08,90,A Excellent,,
,Alderson House Residental Hom,Linnaeus Street,HU3 2PD,53.7405727,-0.3571894,GEOMETRIC_CENTER,10-Jan-09,90,A Excellent,,
